symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,normalized-losses_norm,wheel-base_norm,length_norm,width_norm,height_norm,curb-weight_norm,bore_norm,stroke_norm,compression-ratio_norm,horsepower_norm,peak-rpm_norm,city-mpg_norm,highway-mpg_norm,price_norm,highway-mpg-binned,Dual_Overhead,L_Engine,Overhead,Rotary
2,116.0206186,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,1.15E-15,0.677299297,0.362913345,-0.485492967,0.3607744,-0.24584597,0.668802012,-1.844072072,-0.091917848,0.045574471,1.557076086,-0.318195431,-0.232024539,1.043435318,2,0,0,1,0
0,116.0206186,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,1.15E-15,0.677299297,0.362913345,-0.485492967,0.3607744,-0.24584597,0.668802012,-1.844072072,-0.091917848,0.045574471,1.557076086,-0.318195431,-0.232024539,1.147734061,2,0,0,1,0
0,116.0206186,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,1.15E-15,0.677299297,0.362913345,-0.485492967,0.3607744,0.482408695,-0.080656581,-0.275225448,0.213923913,0.682324179,-2.076890841,-0.65383761,-0.408074287,2.000033893,2,0,0,1,0
0,116.0206186,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,1.15E-15,0.677299297,0.362913345,-0.485492967,0.3607744,0.609564271,-0.080656581,-0.275225448,0.213923913,0.682324179,-2.076890841,-0.65383761,-0.408074287,2.028479005,2,0,0,1,0
1,115,bmw,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,-0.041206508,1.172935891,1.571970691,0.875797925,1.040559916,1.280020947,-0.080656581,-0.275225448,0.213923913,0.682324179,-2.076890841,-0.821658699,-0.93622353,2.757516685,2,0,0,1,0
0,115,bmw,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,six,209,mpfi,3.62,3.39,8,182,5400,16,22,11477.87435,-0.041206508,1.172935891,1.571970691,0.875797925,1.040559916,1.684606872,1.14214428,0.529311283,-1.315284891,2.624410788,0.61927817,-1.492943055,-1.464372773,0,1,0,0,1,0
0,115,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,six,209,mpfi,3.62,3.39,8,182,5400,16,22,11477.87435,-0.041206508,1.172935891,2.047665384,1.524031683,0.069437751,2.031394807,1.14214428,0.529311283,-1.315284891,2.624410788,0.61927817,-1.492943055,-1.464372773,0,1,0,0,1,0
0,115,bmw,gas,std,four,sedan,rwd,front,110,197,65.54894737,56.3,3505,six,209,mpfi,3.62,3.39,8,182,5400,15,20,11477.87435,-0.041206508,2.573648004,2.36479518,0,1.331896566,2.320384754,1.14214428,0.529311283,-1.315284891,2.624410788,0.61927817,-1.660764144,-1.816472268,0,1,0,0,1,0
2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,173.1380208,65.54894737,53.2,2501.338462,three,61,2bbl,2.91,3.03,9.5,48,5100,24.8960396,30.31794872,5151,0.201037813,-2.081026095,-8.45E-15,0,-0.173342791,1.05E-15,-1.658464143,-0.918854832,0.978528315,-1.641812254,-0.084070268,0,6.25E-16,-1.333101097,2,0,1,0,0
1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,-0.72756542,-0.766511651,-1.708340632,-1.263373477,-0.75601609,-1.450356067,-1.185121874,-0.59704014,1.131449195,-0.941387575,0.61927817,2.199120905,2.232671928,-1.092055113,4,0,0,1,0
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,-1.413924331,-0.766511651,-1.420941755,-1.263373477,-0.75601609,-1.369438882,-1.185121874,-0.59704014,1.131449195,-0.941387575,0.61927817,2.199120905,2.232671928,-1.033057844,4,0,0,1,0
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,0.079915652,-0.938906987,-1.569596347,-1.133726725,-1.33868939,-1.445732228,-1.421793009,-0.114318102,0.840899522,-1.005062546,0.853727649,2.031299816,1.880572433,-1.244394489,4,0,0,1,0
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,0.079915652,-0.938906987,-1.569596347,-1.133726725,-1.33868939,-1.445732228,-1.421793009,-0.114318102,0.825607434,-1.005062546,0.853727649,1.024373281,1.35242319,-1.074777341,4,0,0,1,0
1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,0.079915652,-0.938906987,-1.569596347,-1.133726725,-1.33868939,-0.863128496,-1.185121874,0.529311283,-1.926968413,0.077411957,0.853727649,-0.150374342,-0.055974792,-0.741864181,2,0,0,1,0
1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,1.29113726,-0.938906987,-1.569596347,-1.133726725,-1.435801606,-1.235347547,-1.421793009,-0.114318102,0.825607434,-1.005062546,0.853727649,1.024373281,1.35242319,-1.105961612,4,0,0,1,0
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,1.29113726,-0.938906987,-1.569596347,-1.133726725,-1.435801606,-1.184485316,-1.421793009,-0.114318102,0.825607434,-1.005062546,0.853727649,1.024373281,1.35242319,-1.008405414,4,0,0,1,0
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,1.29113726,-0.938906987,-1.569596347,-1.133726725,-1.435801606,-1.184485316,-1.421793009,-0.114318102,0.825607434,-1.005062546,0.853727649,1.024373281,1.35242319,-0.815189358,4,0,0,1,0
1,148,dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,1.29113726,-0.938906987,-1.569596347,-1.133726725,-1.435801606,-0.717477563,-1.185121874,0.529311283,-1.926968413,0.077411957,0.853727649,-0.150374342,-0.055974792,-0.615230757,2,0,0,1,0
-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,53.55699482,2535,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,-0.243076776,1.129837056,0.144886611,-0.615139719,1.04E-14,0.07782277,0.037678987,0.810899138,-0.550680489,-0.368312839,-0.318519747,-0.150374342,-0.055974792,-0.538745012,2,0,0,1,0
3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,four,156,mfi,3.6,3.258418367,7,145,5000,19,24,12964,1.1700151,-0.464819811,0.006142325,0.48685767,-1.630026039,0.715912571,1.063253902,-1.79E-15,-2.844493696,1.446423828,-0.318519747,-0.989479788,-1.112273278,0.31313341,1,0,0,1,0
2,137,honda,gas,std,two,hatchback,fwd,front,98.05699482,173.1380208,63.9,50.8,1713,four,92,1bbl,2.91,3.41,9.6,58,4800,24.8960396,30.31794872,6479,0.847022671,-2.45E-14,-8.45E-15,-1.068903349,-1.33868939,-1.822575118,-1.658464143,0.609764956,1.131449195,-1.3234374,-0.787418705,0,6.25E-16,-1.053285479,2,0,0,1,0
2,137,honda,gas,std,two,hatchback,fwd,front,98.05699482,173.1380208,63.9,50.8,1819,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,0.847022671,-2.45E-14,-8.45E-15,-1.068903349,-1.33868939,-1.577511644,-1.658464143,0.609764956,0.519765674,-0.750362663,2.025975045,1.024373281,1.35242319,-0.974060575,4,0,0,1,0
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1837,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,-0.606443259,-0.938906987,-2.293048693,-1.004079974,-0.46467944,-1.535897091,-1.658464143,-0.757947486,1.896053597,-1.259762429,0.853727649,2.199120905,2.05662218,-1.280846373,4,0,0,1,0
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1940,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,-0.606443259,-0.938906987,-2.293048693,-1.004079974,-0.46467944,-1.297769375,-1.658464143,0.609764956,0.519765674,-0.750362663,2.025975045,0.856552192,0.648224199,-1.042750252,3,0,0,1,0
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1956,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,-0.606443259,-0.938906987,-2.293048693,-1.004079974,-0.46467944,-1.260778662,-1.658464143,0.609764956,0.519765674,-0.750362663,2.025975045,0.856552192,0.648224199,-0.916327533,3,0,0,1,0
0,110,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,-0.243076776,-0.335523308,-0.965067674,-1.004079974,0.457886617,-1.135935005,-1.658464143,0.609764956,0.519765674,-0.750362663,2.025975045,0.856552192,0.648224199,-0.881350581,3,0,0,1,0
0,78,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,-1.535046492,-0.335523308,-1.589416959,-1.068903349,2.303018732,-1.103568131,-1.619018954,0.609764956,0.519765674,-0.750362663,2.025975045,0.856552192,0.648224199,-0.881350581,3,0,0,1,0
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895,-0.404572991,-0.335523308,-0.558745123,-0.226199464,-0.124786682,-0.613441182,-0.711779606,1.293621177,0.213923913,-0.431987809,1.557076086,0.353088925,0.472174451,-0.754927862,3,0,0,1,0
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095,-0.404572991,-0.335523308,-0.558745123,-0.226199464,-0.124786682,-0.490909445,-0.711779606,1.293621177,0.213923913,-0.431987809,1.557076086,0.353088925,0.472174451,-0.502082424,3,0,0,1,0
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845,-1.252428116,-0.335523308,0.22416906,-0.226199464,0.263662184,-0.456230651,-0.711779606,1.293621177,0.213923913,-0.431987809,1.557076086,0.353088925,0.472174451,-0.554758557,3,0,0,1,0
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295,-1.252428116,-0.335523308,0.22416906,-1.976430611,0.263662184,-0.299020121,-0.711779606,1.293621177,0.213923913,-0.431987809,1.557076086,0.353088925,0.472174451,-0.249236985,3,0,0,1,0
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945,-1.252428116,-0.335523308,0.22416906,-0.226199464,0.263662184,-0.0840116,-0.711779606,1.293621177,0.213923913,0.045574471,1.557076086,-0.150374342,-0.408074287,0.309130024,2,0,0,1,0
1,107,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66,51,2293,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,-0.364198937,-0.335523308,-0.400180225,0.292387542,-1.241577173,-0.481661767,-0.711779606,1.293621177,0.366844793,0.013736986,0.853727649,0.017446747,0.120074956,-0.238701759,3,0,0,1,0
0,115,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,-0.041206508,-0.809610485,-0.241615328,-2.430194241,-0.027674466,-0.379937306,-0.080656581,-0.114318102,-0.550680489,-0.686687692,-0.787418705,-0.150374342,-0.232024539,-0.988809892,2,0,0,1,0
1,115,isuzu,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,52,1874,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,10295,-0.041206508,-0.766511651,-1.708340632,-1.263373477,-0.75601609,-1.450356067,-1.185121874,-0.59704014,1.131449195,-0.941387575,0.61927817,2.199120905,2.232671928,-0.249236985,4,0,0,1,0
0,115,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,10295,-0.041206508,-0.766511651,-1.708340632,-1.263373477,-0.75601609,-1.369438882,-1.185121874,-0.59704014,1.131449195,-0.941387575,0.61927817,2.199120905,2.232671928,-0.249236985,4,0,0,1,0
2,115,isuzu,gas,std,two,hatchback,rwd,front,96,172.6,65.2,51.4,2734,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,-0.041206508,-0.443270394,-0.053319512,-0.226199464,-1.04735274,0.537894764,0.392685688,-0.114318102,0.519765674,-0.304637868,-0.318519747,-0.150374342,-0.232024539,-0.090576473,2,0,0,1,0
0,145,jaguar,gas,std,four,sedan,rwd,front,98.05699482,173.1380208,69.6,52.8,2501.338462,six,258,mpfi,3.63,3.258418367,8.1,176,4750,15,19,11477.87435,1.1700151,-2.45E-14,-8.45E-15,2.626029071,-0.367567224,1.05E-15,1.181589469,-1.79E-15,-1.162364011,2.433385875,-0.904643445,-1.660764144,-1.992522016,0,1,1,0,0,0
0,115,jaguar,gas,std,four,sedan,rwd,front,98.05699482,173.1380208,69.6,52.8,2501.338462,six,258,mpfi,3.63,3.258418367,8.1,176,4750,15,19,11477.87435,-0.041206508,-2.45E-14,-8.45E-15,2.626029071,-0.367567224,1.05E-15,1.181589469,-1.79E-15,-1.162364011,2.433385875,-0.904643445,-1.660764144,-1.992522016,0,1,1,0,0,0
0,115,jaguar,gas,std,two,sedan,rwd,front,102,191.7,65.54894737,53.55699482,2501.338462,twelve,326,mpfi,3.54,2.76,11.5,99.56852792,5000,13,30.31794872,11477.87435,-0.041206508,0.849694634,1.839548956,0,1.04E-14,1.05E-15,0.826582768,-2.004979418,4.036945923,-4.52E-16,-0.318519747,-1.996406322,6.25E-16,0,2,0,0,1,0
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195,-0.485321098,-1.06820349,-1.391210837,-0.874433222,0.263662184,-1.413365354,-1.185121874,-0.436132794,0.213923913,-1.005062546,-0.318519747,0.856552192,0.120074956,-1.323830098,3,0,0,1,0
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095,-0.485321098,-1.06820349,-1.391210837,-0.874433222,0.263662184,-1.390246158,-1.185121874,-0.436132794,0.213923913,-1.005062546,-0.318519747,1.024373281,1.35242319,-1.134196019,4,0,0,1,0
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795,-0.485321098,-1.06820349,-1.391210837,-0.874433222,0.263662184,-1.37868656,-1.185121874,-0.436132794,0.213923913,-1.005062546,-0.318519747,1.024373281,1.35242319,-0.986702847,4,0,0,1,0
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695,-0.121954616,-1.06820349,-0.628117266,-0.874433222,0.263662184,-1.286209778,-1.185121874,-0.436132794,0.213923913,-1.005062546,-0.318519747,1.024373281,1.35242319,-1.0077733,4,0,0,1,0
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395,-0.121954616,-1.06820349,-0.628117266,-0.874433222,0.263662184,-1.27465018,-0.987895929,-0.436132794,0.213923913,-1.005062546,-0.318519747,1.024373281,1.35242319,-0.860280128,4,0,0,1,0
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,two,70,4bbl,3.31,3.29,9.4,101,6000,17,23,10945,1.371885368,-0.594116314,-0.410090532,0.097917415,-1.921362689,-0.280524764,-0.080656581,0.127042917,0.825607434,0.045574471,2.025975045,-1.325121966,-1.288323025,-0.11227904,1,0,0,0,1
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,two,70,4bbl,3.31,3.29,9.4,101,6000,17,23,11845,1.371885368,-0.594116314,-0.410090532,0.097917415,-1.921362689,-0.280524764,-0.080656581,0.127042917,0.825607434,0.045574471,2.025975045,-1.325121966,-1.288323025,0.077355039,1,0,0,0,1
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2385,two,70,4bbl,3.31,3.29,9.4,101,6000,17,23,13645,1.371885368,-0.594116314,-0.410090532,0.097917415,-1.921362689,-0.268965166,-0.080656581,0.127042917,0.825607434,0.045574471,2.025975045,-1.325121966,-1.288323025,0.456623197,1,0,0,0,1
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2500,two,80,mpfi,3.31,3.29,9.4,135,6000,16,23,15645,1.371885368,-0.594116314,-0.410090532,0.097917415,-1.921362689,-0.003094415,-0.080656581,0.127042917,0.825607434,1.128048975,2.025975045,-1.492943055,-1.288323025,0.87803226,1,0,0,0,1
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,0.524030242,0.160113286,0.462016406,0.616504421,0.069437751,-0.268965166,0.234904932,0.529311283,-0.397759609,-0.49566278,-0.787418705,0.185267836,0.296124704,-0.554758557,3,0,0,1,0
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,-0.041206508,0.160113286,0.462016406,0.616504421,0.9434477,-0.211167177,0.234904932,0.529311283,-0.397759609,-0.49566278,-0.787418705,0.185267836,0.296124704,-0.628505143,3,0,0,1,0
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,0.524030242,0.160113286,0.462016406,0.616504421,0.069437751,-0.268965166,0.234904932,0.529311283,-0.397759609,-0.49566278,-0.787418705,0.185267836,0.296124704,-0.186025626,3,0,0,1,0
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,-0.041206508,0.160113286,0.462016406,0.616504421,0.9434477,-0.211167177,0.234904932,0.529311283,-0.397759609,-0.49566278,-0.787418705,0.185267836,0.296124704,-0.259772212,3,0,0,1,0
0,115,mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,four,122,idi,3.39,3.39,8.860108108,64,4650,36,42,10795,-0.041206508,0.160113286,0.462016406,0.616504421,0.9434477,-0.134873831,0.234904932,0.529311283,0,-1.132412488,-1.139092924,1.863478727,2.05662218,-0.143884719,4,0,0,1,0
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,-0.041206508,0.160113286,0.462016406,0.616504421,0.9434477,-0.176488383,0.234904932,0.529311283,-0.397759609,-0.49566278,-0.787418705,0.185267836,0.296124704,-0.04906768,3,0,0,1,0
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280,0.079915652,1.47462773,0.184527835,0.357210918,0.409330509,0.389931912,1.694376927,-0.395905957,-1.315284891,0.650486694,-0.318519747,-0.989479788,-0.584124035,1.433238702,2,0,0,1,0
0,115,mazda,diesel,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,four,134,idi,3.43,3.64,8.860108108,72,4200,31,39,18344,-0.041206508,1.47462773,0.184527835,0.357210918,0.409330509,0.459289499,0.392685688,1.534982196,0,-0.877712605,-2.19411558,1.024373281,1.528472937,1.446723792,4,0,0,1,0
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110,190.9,65.54894737,56.5,3515,five,183,idi,3.58,3.64,8.860108108,123,4350,22,25,25552,-0.929435688,2.573648004,1.760266507,0,1.429008783,2.34350395,0.984363524,1.534982196,0,0.74599915,-1.842441362,-0.48601652,-0.93622353,2.965482058,2,0,0,1,0
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110,190.9,65.54894737,53.55699482,2501.338462,five,183,idi,3.58,3.64,8.860108108,123,4350,22,25,28248,-0.929435688,2.573648004,1.760266507,0,1.04E-14,1.05E-15,0.984363524,1.534982196,0,0.74599915,-1.842441362,-0.48601652,-0.93622353,3.533541476,2,0,0,1,0
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,65.54894737,54.9,3495,five,183,idi,3.58,3.64,8.860108108,123,4350,22,25,28176,-0.929435688,1.862517238,1.423316099,0,0.65211105,2.297265558,0.984363524,1.534982196,0,0.74599915,-1.842441362,-0.48601652,-0.93622353,3.51837075,2,0,0,1,0
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,98.05699482,173.1380208,65.54894737,56.3,2501.338462,five,183,idi,3.58,3.64,8.860108108,123,4350,22,25,11477.87435,-0.929435688,-2.45E-14,-8.45E-15,0,1.331896566,1.05E-15,0.984363524,1.534982196,0,0.74599915,-1.842441362,-0.48601652,-0.93622353,0,2,0,0,1,0
-1,115,mercedes-benz,gas,std,four,sedan,rwd,front,98.05699482,173.1380208,65.54894737,56.5,2501.338462,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,11477.87435,-0.041206508,-2.45E-14,-8.45E-15,0,1.429008783,1.05E-15,0.511021255,-0.637266977,-0.85652225,1.764798682,-0.904643445,-1.492943055,-2.168571764,0,1,0,0,1,0
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,65.54894737,50.8,2501.338462,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,11477.87435,1.048892939,-0.313973891,0.709774059,0,-1.33868939,1.05E-15,0.511021255,-0.637266977,-0.85652225,1.764798682,-0.904643445,-1.492943055,-2.168571764,0,1,0,0,1,0
0,115,mercedes-benz,gas,std,four,sedan,rwd,front,98.05699482,173.1380208,65.54894737,56.7,2501.338462,eight,308,mpfi,3.8,3.35,8,99.56852792,4500,14,30.31794872,11477.87435,-0.041206508,-2.45E-14,-8.45E-15,0,1.526120999,1.05E-15,1.852157684,0.368403937,-1.315284891,-4.52E-16,-1.490767143,-1.828585233,6.25E-16,0,2,0,0,1,0
